file_path,timestamp,total_blobs,size_reduction,blob_efficiency,agents_active,response_diversity,processing_complexity
orka_trace_20250713_143008.json,20250713_143008,36,260881,7246.694444444444,6,0.5037220843672456,3.6
orka_trace_20250713_143345.json,20250713_143345,37,391260,10574.594594594595,6,0.4621380846325167,3.7
orka_trace_20250713_143718.json,20250713_143718,37,492130,13300.81081081081,6,0.4606741573033708,3.7
orka_trace_20250713_144045.json,20250713_144045,36,535929,14886.916666666666,6,0.5087463556851312,3.6
orka_trace_20250713_144407.json,20250713_144407,37,570636,15422.594594594595,6,0.47198275862068967,3.7
orka_trace_20250713_144729.json,20250713_144729,37,606224,16384.432432432433,6,0.4574780058651026,3.7
orka_trace_20250713_145104.json,20250713_145104,39,698841,17919.0,6,0.41125541125541126,3.9000000000000004
orka_trace_20250713_145433.json,20250713_145433,40,752743,18818.575,6,0.4327784891165173,4.0
orka_trace_20250713_145752.json,20250713_145752,40,797511,19937.775,6,0.4621380846325167,4.0
orka_trace_20250713_150128.json,20250713_150128,37,832565,22501.756756756757,6,0.48220064724919093,3.7
orka_trace_20250713_150221.json,20250713_150221,4,296963,74240.75,1,0.0,0.4
